
#xyz    i       Values[au cm^1/2]
First derivatives
X	1	-0.0002723533
Y	1	0.7398823997
Z	1	0.0000391437
X	2	-5.6623091479
Y	2	0.0029023704
Z	2	0.0001217031
X	3	0.0051233593
Y	3	3.5610426037
Z	3	0.0008526309
X	4	-0.0014811096
Y	4	0.0022213711
Z	4	-1.5020996785
X	5	-0.0033301005
Y	5	0.0003655267
Z	5	0.0024104614
X	6	1.2757210070
Y	6	-0.0008739162
Z	6	-0.0005399085
X	7	0.0000169749
Y	7	0.2701628721
Z	7	-0.0000077102
X	8	-0.0000041479
Y	8	-2.3138077012
Z	8	-0.0001603570
X	9	-0.0000123611
Y	9	0.0002603900
Z	9	-2.1404127092
END
